evidence_id	entity_type	entity_id	field	source_asset	metadata_path	metadata_key	raw_value	normalized_value	evidence_grade	interpretation	conflict_flag
HEST::INT15::raw_id	physical_unit	HEST::INT15	id	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT15.json	id	INT15		E3_explicit	Bundled HEST metadata; no block or serial inference.	no
HEST::INT15::raw_patient	physical_unit	HEST::INT15	patient	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT15.json	patient	Patient 10		E3_explicit	Bundled HEST metadata; no block or serial inference.	no
HEST::INT15::raw_slide_id	physical_unit	HEST::INT15	slide_id	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT15.json	slide_id			E0_unknown	Bundled HEST metadata; no block or serial inference.	no
HEST::INT15::raw_st_technology	physical_unit	HEST::INT15	st_technology	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT15.json	st_technology	Visium		E3_explicit	Bundled HEST metadata; no block or serial inference.	no
HEST::INT15::raw_study_link	physical_unit	HEST::INT15	study_link	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT15.json	study_link	https://pubmed.ncbi.nlm.nih.gov/35231421/		E3_explicit	Bundled HEST metadata; no block or serial inference.	no
HEST::INT15::raw_subseries	physical_unit	HEST::INT15	subseries	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT15.json	subseries	ccRCC tumor ffpe_c_39		E3_explicit	Bundled HEST metadata; no block or serial inference.	no
HEST::INT15::raw_z_step_size	physical_unit	HEST::INT15	z_step_size	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT15.json	z_step_size			E0_unknown	Bundled HEST metadata; no block or serial inference.	no
HEST::INT16::raw_download_page_link1	physical_unit	HEST::INT16	download_page_link1	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT16.json	download_page_link1	None (internal)		E3_explicit	Bundled HEST metadata; no block or serial inference.	no
HEST::INT16::raw_id	physical_unit	HEST::INT16	id	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT16.json	id	INT16		E3_explicit	Bundled HEST metadata; no block or serial inference.	no
HEST::INT16::raw_patient	physical_unit	HEST::INT16	patient	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT16.json	patient	Patient 9		E3_explicit	Bundled HEST metadata; no block or serial inference.	no
HEST::INT16::raw_slide_id	physical_unit	HEST::INT16	slide_id	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT16.json	slide_id			E0_unknown	Bundled HEST metadata; no block or serial inference.	no
HEST::INT16::raw_st_technology	physical_unit	HEST::INT16	st_technology	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT16.json	st_technology	Visium		E3_explicit	Bundled HEST metadata; no block or serial inference.	no
HEST::INT16::raw_study_link	physical_unit	HEST::INT16	study_link	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT16.json	study_link	https://pubmed.ncbi.nlm.nih.gov/35231421/		E3_explicit	Bundled HEST metadata; no block or serial inference.	no
HEST::INT16::raw_subseries	physical_unit	HEST::INT16	subseries	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT16.json	subseries	ccRCC tumor ffpe_c_36		E3_explicit	Bundled HEST metadata; no block or serial inference.	no
HEST::INT16::raw_z_step_size	physical_unit	HEST::INT16	z_step_size	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT16.json	z_step_size			E0_unknown	Bundled HEST metadata; no block or serial inference.	no
HEST::INT17::raw_download_page_link1	physical_unit	HEST::INT17	download_page_link1	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT17.json	download_page_link1	None (internal)		E3_explicit	Bundled HEST metadata; no block or serial inference.	no
HEST::INT17::raw_id	physical_unit	HEST::INT17	id	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT17.json	id	INT17		E3_explicit	Bundled HEST metadata; no block or serial inference.	no
HEST::INT17::raw_patient	physical_unit	HEST::INT17	patient	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT17.json	patient	Patient 8		E3_explicit	Bundled HEST metadata; no block or serial inference.	no
HEST::INT17::raw_slide_id	physical_unit	HEST::INT17	slide_id	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT17.json	slide_id			E0_unknown	Bundled HEST metadata; no block or serial inference.	no
HEST::INT17::raw_st_technology	physical_unit	HEST::INT17	st_technology	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT17.json	st_technology	Visium		E3_explicit	Bundled HEST metadata; no block or serial inference.	no
HEST::INT17::raw_study_link	physical_unit	HEST::INT17	study_link	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT17.json	study_link	https://pubmed.ncbi.nlm.nih.gov/35231421/		E3_explicit	Bundled HEST metadata; no block or serial inference.	no
HEST::INT17::raw_subseries	physical_unit	HEST::INT17	subseries	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT17.json	subseries	ccRCC tumor ffpe_c_34		E3_explicit	Bundled HEST metadata; no block or serial inference.	no
HEST::INT17::raw_z_step_size	physical_unit	HEST::INT17	z_step_size	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT17.json	z_step_size			E0_unknown	Bundled HEST metadata; no block or serial inference.	no
HEST::INT18::raw_download_page_link1	physical_unit	HEST::INT18	download_page_link1	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT18.json	download_page_link1	None (internal)		E3_explicit	Bundled HEST metadata; no block or serial inference.	no
HEST::INT18::raw_id	physical_unit	HEST::INT18	id	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT18.json	id	INT18		E3_explicit	Bundled HEST metadata; no block or serial inference.	no
HEST::INT18::raw_patient	physical_unit	HEST::INT18	patient	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT18.json	patient	Patient 7		E3_explicit	Bundled HEST metadata; no block or serial inference.	no
HEST::INT18::raw_slide_id	physical_unit	HEST::INT18	slide_id	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT18.json	slide_id			E0_unknown	Bundled HEST metadata; no block or serial inference.	no
HEST::INT18::raw_st_technology	physical_unit	HEST::INT18	st_technology	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT18.json	st_technology	Visium		E3_explicit	Bundled HEST metadata; no block or serial inference.	no
HEST::INT18::raw_study_link	physical_unit	HEST::INT18	study_link	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT18.json	study_link	https://pubmed.ncbi.nlm.nih.gov/35231421/		E3_explicit	Bundled HEST metadata; no block or serial inference.	no
HEST::INT18::raw_subseries	physical_unit	HEST::INT18	subseries	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT18.json	subseries	ccRCC tumor ffpe_c_21		E3_explicit	Bundled HEST metadata; no block or serial inference.	no
HEST::INT18::raw_z_step_size	physical_unit	HEST::INT18	z_step_size	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT18.json	z_step_size			E0_unknown	Bundled HEST metadata; no block or serial inference.	no
HEST::INT19::raw_download_page_link1	physical_unit	HEST::INT19	download_page_link1	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT19.json	download_page_link1	None (internal)		E3_explicit	Bundled HEST metadata; no block or serial inference.	no
HEST::INT19::raw_id	physical_unit	HEST::INT19	id	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT19.json	id	INT19		E3_explicit	Bundled HEST metadata; no block or serial inference.	no
HEST::INT19::raw_patient	physical_unit	HEST::INT19	patient	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT19.json	patient	Patient 6		E3_explicit	Bundled HEST metadata; no block or serial inference.	no
HEST::INT19::raw_slide_id	physical_unit	HEST::INT19	slide_id	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT19.json	slide_id			E0_unknown	Bundled HEST metadata; no block or serial inference.	no
HEST::INT19::raw_st_technology	physical_unit	HEST::INT19	st_technology	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT19.json	st_technology	Visium		E3_explicit	Bundled HEST metadata; no block or serial inference.	no
HEST::INT19::raw_study_link	physical_unit	HEST::INT19	study_link	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT19.json	study_link	https://pubmed.ncbi.nlm.nih.gov/35231421/		E3_explicit	Bundled HEST metadata; no block or serial inference.	no
HEST::INT19::raw_subseries	physical_unit	HEST::INT19	subseries	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT19.json	subseries	ccRCC tumor ffpe_c_20		E3_explicit	Bundled HEST metadata; no block or serial inference.	no
HEST::INT19::raw_z_step_size	physical_unit	HEST::INT19	z_step_size	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT19.json	z_step_size			E0_unknown	Bundled HEST metadata; no block or serial inference.	no
HEST::INT1::raw_download_page_link1	physical_unit	HEST::INT1	download_page_link1	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT1.json	download_page_link1	None (internal)		E3_explicit	Bundled HEST metadata; no block or serial inference.	no
HEST::INT1::raw_id	physical_unit	HEST::INT1	id	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT1.json	id	INT1		E3_explicit	Bundled HEST metadata; no block or serial inference.	no
HEST::INT1::raw_patient	physical_unit	HEST::INT1	patient	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT1.json	patient	Patient 24		E3_explicit	Bundled HEST metadata; no block or serial inference.	no
HEST::INT1::raw_slide_id	physical_unit	HEST::INT1	slide_id	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT1.json	slide_id			E0_unknown	Bundled HEST metadata; no block or serial inference.	no
HEST::INT1::raw_st_technology	physical_unit	HEST::INT1	st_technology	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT1.json	st_technology	Visium		E3_explicit	Bundled HEST metadata; no block or serial inference.	no
HEST::INT1::raw_study_link	physical_unit	HEST::INT1	study_link	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT1.json	study_link	https://pubmed.ncbi.nlm.nih.gov/35231421/		E3_explicit	Bundled HEST metadata; no block or serial inference.	no
HEST::INT1::raw_subseries	physical_unit	HEST::INT1	subseries	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT1.json	subseries	ccRCC tumor frozen_c_57		E3_explicit	Bundled HEST metadata; no block or serial inference.	no
HEST::INT1::raw_z_step_size	physical_unit	HEST::INT1	z_step_size	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT1.json	z_step_size			E0_unknown	Bundled HEST metadata; no block or serial inference.	no
HEST::INT20::raw_download_page_link1	physical_unit	HEST::INT20	download_page_link1	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT20.json	download_page_link1	None (internal)		E3_explicit	Bundled HEST metadata; no block or serial inference.	no
HEST::INT20::raw_id	physical_unit	HEST::INT20	id	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT20.json	id	INT20		E3_explicit	Bundled HEST metadata; no block or serial inference.	no
HEST::INT20::raw_patient	physical_unit	HEST::INT20	patient	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT20.json	patient	Patient 5		E3_explicit	Bundled HEST metadata; no block or serial inference.	no
HEST::INT20::raw_slide_id	physical_unit	HEST::INT20	slide_id	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT20.json	slide_id			E0_unknown	Bundled HEST metadata; no block or serial inference.	no
HEST::INT20::raw_st_technology	physical_unit	HEST::INT20	st_technology	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT20.json	st_technology	Visium		E3_explicit	Bundled HEST metadata; no block or serial inference.	no
HEST::INT20::raw_study_link	physical_unit	HEST::INT20	study_link	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT20.json	study_link	https://pubmed.ncbi.nlm.nih.gov/35231421/		E3_explicit	Bundled HEST metadata; no block or serial inference.	no
HEST::INT20::raw_subseries	physical_unit	HEST::INT20	subseries	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT20.json	subseries	ccRCC tumor ffpe_c_10		E3_explicit	Bundled HEST metadata; no block or serial inference.	no
HEST::INT20::raw_z_step_size	physical_unit	HEST::INT20	z_step_size	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT20.json	z_step_size			E0_unknown	Bundled HEST metadata; no block or serial inference.	no
HEST::INT21::raw_download_page_link1	physical_unit	HEST::INT21	download_page_link1	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT21.json	download_page_link1	None (internal)		E3_explicit	Bundled HEST metadata; no block or serial inference.	no
HEST::INT21::raw_id	physical_unit	HEST::INT21	id	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT21.json	id	INT21		E3_explicit	Bundled HEST metadata; no block or serial inference.	no
HEST::INT21::raw_patient	physical_unit	HEST::INT21	patient	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT21.json	patient	Patient 4		E3_explicit	Bundled HEST metadata; no block or serial inference.	no
HEST::INT21::raw_slide_id	physical_unit	HEST::INT21	slide_id	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT21.json	slide_id			E0_unknown	Bundled HEST metadata; no block or serial inference.	no
HEST::INT21::raw_st_technology	physical_unit	HEST::INT21	st_technology	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT21.json	st_technology	Visium		E3_explicit	Bundled HEST metadata; no block or serial inference.	no
HEST::INT21::raw_study_link	physical_unit	HEST::INT21	study_link	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT21.json	study_link	https://pubmed.ncbi.nlm.nih.gov/35231421/		E3_explicit	Bundled HEST metadata; no block or serial inference.	no
HEST::INT21::raw_subseries	physical_unit	HEST::INT21	subseries	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT21.json	subseries	ccRCC tumor ffpe_c_7		E3_explicit	Bundled HEST metadata; no block or serial inference.	no
HEST::INT21::raw_z_step_size	physical_unit	HEST::INT21	z_step_size	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT21.json	z_step_size			E0_unknown	Bundled HEST metadata; no block or serial inference.	no
HEST::INT22::raw_download_page_link1	physical_unit	HEST::INT22	download_page_link1	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT22.json	download_page_link1	None (internal)		E3_explicit	Bundled HEST metadata; no block or serial inference.	no
HEST::INT22::raw_id	physical_unit	HEST::INT22	id	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT22.json	id	INT22		E3_explicit	Bundled HEST metadata; no block or serial inference.	no
HEST::INT22::raw_patient	physical_unit	HEST::INT22	patient	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT22.json	patient	Patient 3		E3_explicit	Bundled HEST metadata; no block or serial inference.	no
HEST::INT22::raw_slide_id	physical_unit	HEST::INT22	slide_id	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT22.json	slide_id			E0_unknown	Bundled HEST metadata; no block or serial inference.	no
HEST::INT22::raw_st_technology	physical_unit	HEST::INT22	st_technology	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT22.json	st_technology	Visium		E3_explicit	Bundled HEST metadata; no block or serial inference.	no
HEST::INT22::raw_study_link	physical_unit	HEST::INT22	study_link	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT22.json	study_link	https://pubmed.ncbi.nlm.nih.gov/35231421/		E3_explicit	Bundled HEST metadata; no block or serial inference.	no
HEST::INT22::raw_subseries	physical_unit	HEST::INT22	subseries	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT22.json	subseries	ccRCC tumor ffpe_c_4		E3_explicit	Bundled HEST metadata; no block or serial inference.	no
HEST::INT22::raw_z_step_size	physical_unit	HEST::INT22	z_step_size	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT22.json	z_step_size			E0_unknown	Bundled HEST metadata; no block or serial inference.	no
HEST::INT23::raw_download_page_link1	physical_unit	HEST::INT23	download_page_link1	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT23.json	download_page_link1	None (internal)		E3_explicit	Bundled HEST metadata; no block or serial inference.	no
HEST::INT23::raw_id	physical_unit	HEST::INT23	id	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT23.json	id	INT23		E3_explicit	Bundled HEST metadata; no block or serial inference.	no
HEST::INT23::raw_patient	physical_unit	HEST::INT23	patient	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT23.json	patient	Patient 2		E3_explicit	Bundled HEST metadata; no block or serial inference.	no
HEST::INT23::raw_slide_id	physical_unit	HEST::INT23	slide_id	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT23.json	slide_id			E0_unknown	Bundled HEST metadata; no block or serial inference.	no
HEST::INT23::raw_st_technology	physical_unit	HEST::INT23	st_technology	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT23.json	st_technology	Visium		E3_explicit	Bundled HEST metadata; no block or serial inference.	no
HEST::INT23::raw_study_link	physical_unit	HEST::INT23	study_link	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT23.json	study_link	https://pubmed.ncbi.nlm.nih.gov/35231421/		E3_explicit	Bundled HEST metadata; no block or serial inference.	no
HEST::INT23::raw_subseries	physical_unit	HEST::INT23	subseries	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT23.json	subseries	ccRCC tumor ffpe_c_3		E3_explicit	Bundled HEST metadata; no block or serial inference.	no
HEST::INT23::raw_z_step_size	physical_unit	HEST::INT23	z_step_size	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT23.json	z_step_size			E0_unknown	Bundled HEST metadata; no block or serial inference.	no
HEST::INT24::raw_download_page_link1	physical_unit	HEST::INT24	download_page_link1	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT24.json	download_page_link1	None (internal)		E3_explicit	Bundled HEST metadata; no block or serial inference.	no
HEST::INT24::raw_id	physical_unit	HEST::INT24	id	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT24.json	id	INT24		E3_explicit	Bundled HEST metadata; no block or serial inference.	no
HEST::INT24::raw_patient	physical_unit	HEST::INT24	patient	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT24.json	patient	Patient 1		E3_explicit	Bundled HEST metadata; no block or serial inference.	no
HEST::INT24::raw_slide_id	physical_unit	HEST::INT24	slide_id	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT24.json	slide_id			E0_unknown	Bundled HEST metadata; no block or serial inference.	no
HEST::INT24::raw_st_technology	physical_unit	HEST::INT24	st_technology	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT24.json	st_technology	Visium		E3_explicit	Bundled HEST metadata; no block or serial inference.	no
HEST::INT24::raw_study_link	physical_unit	HEST::INT24	study_link	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT24.json	study_link	https://pubmed.ncbi.nlm.nih.gov/35231421/		E3_explicit	Bundled HEST metadata; no block or serial inference.	no
HEST::INT24::raw_subseries	physical_unit	HEST::INT24	subseries	META::hest_metadata_json	data/other_sources/hest1k/metadata/INT24.json	subseries	ccRCC tumor ffpe_c_2		E3_explicit	Bundled HEST metadata; no block or serial inference.	no
